year,stateabbr,statedesc,locationname,datasource,category,measure,data_value_unit,data_value_type,data_value,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,totalpopulation,totalpop18plus,locationid,categoryid,measureid,datavaluetypeid,short_question_text,geolocation
2022,AL,Alabama,Lamar,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,10.7,,,9.3,12.1,13705,10722,1075,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-88.0969548281156 33.7791463830423)
2022,AL,Alabama,Lamar,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,10.0,,,8.9,11.2,13705,10722,1075,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-88.0969548281156 33.7791463830423)
2022,AL,Alabama,Lee,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,28.0,,,27.3,28.6,180773,143546,1081,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-85.3550362108983 32.601254498925)
2022,AL,Alabama,Lowndes,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,19.3,,,17.1,21.5,9777,7650,1085,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-86.6500611800636 32.1550262402887)
2022,AL,Alabama,Marion,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,38.9,,,34.5,43.2,29156,23044,1093,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-87.8871984960778 34.1365876476739)
2022,AL,Alabama,Marion,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,17.6,,,15.6,19.6,29156,23044,1093,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-87.8871984960778 34.1365876476739)
2022,AL,Alabama,Montgomery,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,18.8,,,16.9,21.0,226361,172697,1101,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-86.2076996333806 32.220703470576)
2022,AL,Alabama,Perry,BRFSS,Disability,Any disability among adults,%,Age-adjusted prevalence,43.7,,,39.0,48.9,8035,6354,1105,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-87.2942727229619 32.6384797740624)
2022,AL,Alabama,Russell,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,17.5,,,15.4,19.9,58555,44348,1113,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-85.1846581812352 32.2882099895674)
2022,AL,Alabama,Wilcox,BRFSS,Disability,Cognitive disability among adults,%,Age-adjusted prevalence,22.9,,,20.5,25.3,10059,7838,1131,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-87.3083095693845 31.9892939338512)
2022,AK,Alaska,Denali,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,18.5,,,15.5,21.8,1585,1306,2068,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-150.011615254067 63.6714884543977)
2022,AK,Alaska,Haines,BRFSS,Disability,Any disability among adults,%,Crude prevalence,28.7,,,24.9,32.7,2056,1705,2100,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-135.500167586106 59.119335495324)
2022,AK,Alaska,Hoonah-Angoon,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,17.5,,,15.5,19.6,2287,1905,2105,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-135.641352469501 58.2866674624936)
2022,AK,Alaska,Kusilvak,BRFSS,Disability,Any disability among adults,%,Crude prevalence,51.0,,,46.0,56.1,8278,4793,2158,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-163.385871730467 62.1566155670538)
2022,AK,Alaska,Sitka,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,7.4,,,6.5,8.2,8382,6754,2220,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-135.315163429465 57.2335274122738)
2022,AK,Alaska,Sitka,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,32.3,,,26.4,38.7,8382,6754,2220,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-135.315163429465 57.2335274122738)
2022,AK,Alaska,Skagway,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,8.0,,,6.9,9.3,1081,924,2230,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-135.336028290736 59.5592737178809)
2022,AK,Alaska,Wrangell,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Age-adjusted prevalence,20.2,,,16.4,24.5,2070,1682,2275,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-132.033291099899 56.3275352874816)
2022,AK,Alaska,Yakutat,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,18.6,,,15.6,21.9,700,563,2282,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-140.357660106358 59.8890141407815)
2022,AK,Alaska,Yukon-Koyukuk,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,13.4,,,11.6,15.3,5179,3757,2290,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-151.390098989755 65.5085661031514)
2022,AZ,Arizona,Cochise,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,29.9,,,29.4,30.5,125663,99550,4003,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-109.751384831901 31.8794588523568)
2022,AZ,Arizona,Coconino,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,7.1,,,6.4,7.9,144060,116202,4005,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-111.770577149727 35.8387928971913)
2022,AZ,Arizona,Mohave,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,22.2,,,19.5,25.1,220816,185152,4015,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-113.758099268811 35.7044739765542)
2022,AZ,Arizona,Yuma,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,73.6,,,70.0,77.0,207842,155973,4027,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-113.905997385394 32.7694427722845)
2022,AR,Arkansas,Bradley,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,30.4,,,26.8,34.0,10135,7691,5011,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-92.1624834155635 33.466623700772)
2022,AR,Arkansas,Bradley,BRFSS,Disability,Any disability among adults,%,Age-adjusted prevalence,42.6,,,37.8,47.2,10135,7691,5011,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-92.1624834155635 33.466623700772)
2022,AR,Arkansas,Carroll,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,26.0,,,22.2,30.2,28742,22522,5015,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-93.5382990189827 36.340959511681)
2022,AR,Arkansas,Columbia,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,38.5,,,31.3,46.2,22216,17519,5027,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-93.2275288321248 33.2144070346383)
2022,AR,Arkansas,Conway,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,10.4,,,9.3,11.5,21046,16346,5029,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,POINT (-92.701239973211 35.2625436321328)
2022,AR,Arkansas,Crawford,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,4.5,,,4.1,4.9,61075,46441,5033,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-94.2424245667651 35.5884321173193)
2022,AR,Arkansas,Cross,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,27.8,,,23.9,32.0,16601,12703,5037,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-90.7714945147511 35.2958747021642)
2022,AR,Arkansas,Drew,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,15.3,,,13.4,17.5,16911,13179,5043,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-91.7196579038053 33.5894113647675)
2022,AR,Arkansas,Lee,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,21.6,,,19.3,23.8,8364,6854,5077,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-90.780565570189 34.7806712575882)
2022,AR,Arkansas,Monroe,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,6.4,,,5.9,7.0,6564,5069,5095,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-91.2039164853539 34.6778463256655)
2022,AR,Arkansas,Polk,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,37.6,,,35.2,40.0,19337,15084,5113,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-94.2282210393227 34.4858592435429)
2022,AR,Arkansas,Searcy,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,40.1,,,40.0,40.2,7918,6329,5129,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-92.6994901353755 35.9111264752522)
2022,CA,California,Contra Costa,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,28.6,,,24.0,33.2,1156966,906227,6013,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-121.927326815652 37.9192010440958)
2022,CA,California,El Dorado,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,24.7,,,19.4,31.0,192646,155421,6017,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-120.524584137234 38.7786875121222)
2022,CA,California,Glenn,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,16.6,,,14.9,18.5,28339,20780,6021,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-122.392432829407 39.5983868407646)
2022,CA,California,Humboldt,BRFSS,Health-Related Social Needs,Feeling socially isolated among adults,%,Crude prevalence,36.1,,,31.0,41.4,135010,110011,6023,SOCLNEED,ISOLATION,CrdPrv,Social Isolation,POINT (-123.875674190259 40.6992051844633)
2022,CA,California,Inyo,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.9,,,3.6,4.2,18718,14942,6027,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-117.411112581295 36.5114226868129)
2022,CA,California,Kern,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.7,,,3.4,4.0,916108,655754,6029,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-118.730029086317 35.3428262386385)
2022,CA,California,Lake,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.3,,,3.0,3.5,68191,53338,6033,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-122.753413599125 39.0999886976907)
2022,CA,California,Mendocino,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,23.1,,,19.7,26.8,89783,71066,6045,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-123.391321827245 39.4403114811983)
2022,CA,California,Modoc,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,10.7,,,9.6,11.9,8511,6957,6049,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-120.725180763953 41.5897153747434)
2022,CA,California,San Benito,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,20.1,,,17.0,23.4,67579,50683,6069,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-121.074673078268 36.605429011687)
2022,CA,California,San Francisco,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.5,,,7.5,9.6,808437,697737,6075,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-122.439681175401 37.7566838021847)
2022,CA,California,Santa Clara,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,16.9,,,14.7,19.2,1870945,1490785,6085,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-121.695251446392 37.2316875247769)
2022,CA,California,Sierra,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Crude prevalence,16.0,,,12.9,19.4,3217,2684,6091,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-120.516466065629 39.5802928882158)
2022,AZ,Arizona,Gila,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,11.5,,,10.4,12.6,53922,43714,4007,HLTHOUT,COPD,CrdPrv,COPD,POINT (-110.812096582079 33.7999645115514)
2021,AK,Alaska,Yakutat,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,35.2,,,30.8,40.0,700,563,2282,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-140.357660106358 59.8890141407815)
2022,CA,California,Yolo,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.0,,,2.7,3.2,222115,178722,6113,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-121.901158583093 38.6865918071174)
2022,CO,Colorado,Bent,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,4.6,,,4.3,5.0,5399,4529,8011,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-103.072197677268 37.9549082494337)
2022,CO,Colorado,Broomfield,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.1,,,1.9,2.3,76121,60738,8014,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-105.052398567169 39.9553900779039)
2022,CA,California,San Luis Obispo,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,26.6,,,21.0,32.4,282013,234072,6079,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-120.404478346917 35.387112949635)
2022,AL,Alabama,Wilcox,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,48.5,,,39.9,57.4,10059,7838,1131,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3083095693845 31.9892939338512)
2022,AL,Alabama,Mobile,BRFSS,Disability,Any disability among adults,%,Crude prevalence,37.9,,,34.5,41.4,411411,316433,1097,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-88.20640909701 30.7791692937068)
2022,CO,Colorado,Lake,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.4,,,2.2,2.6,7327,5862,8065,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-106.344971513974 39.2024367117474)
2022,CO,Colorado,Mesa,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,7.1,,,6.3,8.0,158636,126505,8077,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-108.466537411781 39.0183551841305)
2022,AR,Arkansas,Washington,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,4.0,,,3.7,4.4,256054,196886,5143,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-94.2156793425187 35.9788480792297)
2022,AL,Alabama,Baldwin,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,36.8,,,31.4,42.5,246435,195167,1003,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.7226204578951 30.7277455824565)
2022,CO,Colorado,Saguache,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,33.2,,,31.0,35.5,6623,5386,8109,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-106.281125358106 38.080485475829)
2022,CO,Colorado,San Miguel,BRFSS,Disability,Any disability among adults,%,Crude prevalence,23.0,,,19.6,26.5,8003,6720,8113,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-108.405860202785 38.0040513912484)
2022,AR,Arkansas,Clark,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,14.3,,,12.5,16.2,21250,17009,5019,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,POINT (-93.1767308539705 34.0510757211807)
2022,CO,Colorado,Washington,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,8.2,,,7.3,9.3,4812,3717,8121,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-103.2015166348 39.9709815449593)
2022,CA,California,Del Norte,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,18.4,,,16.5,20.5,27082,21423,6015,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-123.897120966337 41.7431608613822)
2022,DE,Delaware,Kent,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,6.6,,,5.8,7.3,186946,144450,10001,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-75.5682629704417 39.0863622587062)
2022,FL,Florida,Citrus,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,20.3,,,17.4,23.2,162529,138752,12017,HLTHOUT,DEPRESSION,CrdPrv,Depression,POINT (-82.4772202477587 28.8485262076997)
2022,AR,Arkansas,Lawrence,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,5.9,,,5.4,6.5,16205,12618,5075,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-91.1072092066806 36.041205068049)
2022,AR,Arkansas,Bradley,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,6.4,,,5.9,7.0,10135,7691,5011,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-92.1624834155635 33.466623700772)
2022,FL,Florida,Gadsden,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,5.5,,,5.1,6.0,43403,33991,12039,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-84.6137975584322 30.5796484153785)
2022,CA,California,San Joaquin,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,19.1,,,16.8,21.7,793229,586031,6077,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-121.271085290011 37.9345365020323)
2022,FL,Florida,Gulf,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,4.6,,,4.2,5.0,15314,12762,12045,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-85.2306588125917 29.9507458827787)
2022,FL,Florida,Hillsborough,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,31.4,,,27.0,35.9,1513301,1187875,12057,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-82.3085859249529 27.9292994635599)
2022,AR,Arkansas,Lincoln,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,39.5,,,31.8,47.5,12916,10898,5079,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-91.7344327594591 33.9569870088292)
2022,FL,Florida,Martin,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.4,10.6,162006,136479,12085,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,POINT (-80.4312703143614 27.0775829017837)
2022,AK,Alaska,Sitka,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,8.3,,,7.4,9.2,8382,6754,2220,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-135.315163429465 57.2335274122738)
2021,AR,Arkansas,Scott,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,36.6,,,32.0,41.1,9805,7554,5127,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-94.06316918547 34.8608770716874)
2022,CA,California,San Bernardino,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,73.9,,,67.5,80.3,2193656,1635914,6071,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-116.178441641048 34.8415154042306)
2022,FL,Florida,Orange,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,5.7,,,5.1,6.4,1452726,1145993,12095,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-81.3236333626814 28.514472459873)
2022,AR,Arkansas,Hempstead,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,29.4,,,25.9,33.1,19453,14606,5057,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis,POINT (-93.668219443281 33.7357081301166)
2022,FL,Florida,Pasco,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,7.6,,,6.8,8.5,608794,486398,12101,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-82.3944848610698 28.3087668412932)
2022,AK,Alaska,Skagway,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,7.6,,,6.8,8.5,1081,924,2230,DISABLT,HEARING,AgeAdjPrv,Hearing Disability,POINT (-135.336028290736 59.5592737178809)
2022,CA,California,Inyo,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,8.3,,,7.4,9.3,18718,14942,6027,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-117.411112581295 36.5114226868129)
2022,FL,Florida,Washington,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,4.8,,,4.4,5.2,25414,20301,12133,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-85.6657307170342 30.6106026849538)
2022,CA,California,San Benito,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,20.3,,,17.1,23.6,67579,50683,6069,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-121.074673078268 36.605429011687)
2022,CA,California,Mono,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,3.4,,,3.1,3.7,12978,10782,6051,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-118.887441843869 37.9391655989695)
2022,AL,Alabama,Geneva,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,40.4,,,39.5,41.4,26783,20925,1061,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-85.8396481010202 31.0950365894133)
2022,AL,Alabama,Coosa,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,6.4,,,5.8,7.0,10166,8479,1037,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-86.2475655062285 32.9362201904239)
2022,AR,Arkansas,Columbia,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,30.0,,,26.8,33.1,22216,17519,5027,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-93.2275288321248 33.2144070346383)
2022,CA,California,Colusa,BRFSS,Disability,Any disability among adults,%,Crude prevalence,36.7,,,32.2,41.1,21914,16137,6011,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-122.238126872813 39.1776793679318)
2022,GA,Georgia,Bulloch,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.7,,,3.4,4.0,83059,66741,13031,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-81.7427854953707 32.3970074753386)
2022,GA,Georgia,Burke,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,15.8,,,13.9,18.0,24388,18410,13033,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-82.00069347969 33.0613394728213)
2021,AL,Alabama,Morgan,BRFSS,Prevention,Cholesterol screening among adults,%,Age-adjusted prevalence,83.2,,,80.4,85.9,124211,95875,1103,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening,POINT (-86.8530296512976 34.453569812448)
2022,CA,California,Lake,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,14.8,,,13.3,16.5,68191,53338,6033,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-122.753413599125 39.0999886976907)
2022,CA,California,Solano,BRFSS,Disability,Any disability among adults,%,Crude prevalence,29.6,,,25.9,33.4,448747,351591,6095,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-121.932781028652 38.2699375647315)
2021,AR,Arkansas,Newton,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,45.0,,,40.5,50.0,7078,5757,5101,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-93.2175629791081 35.9200960625867)
2022,GA,Georgia,Chatham,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,3.7,,,3.4,4.0,301107,239767,13051,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-81.1324941916333 32.0044135152861)
2022,GA,Georgia,Chattahoochee,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.3,,,2.1,2.5,8819,6814,13053,HLTHOUT,STROKE,CrdPrv,Stroke,POINT (-84.7871165740001 32.3468609717409)
2022,AZ,Arizona,Pima,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,14.2,,,11.9,16.8,1057597,850216,4019,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-111.790179841763 32.0975237350697)
2022,AL,Alabama,Jackson,BRFSS,Disability,Any disability among adults,%,Age-adjusted prevalence,37.7,,,33.2,42.4,52891,42087,1071,DISABLT,DISABILITY,AgeAdjPrv,Any Disability,POINT (-85.9995052603961 34.7796392771775)
2022,GA,Georgia,Dade,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,3.0,,,2.7,3.3,16081,13007,13083,HLTHOUT,STROKE,AgeAdjPrv,Stroke,POINT (-85.504188975033 34.8546132098114)
2022,GA,Georgia,Dawson,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,27.9,,,26.8,29.1,30138,24167,13085,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-84.171002262823 34.444384268494)
